unit_type,unit_value,unit_variants
currency,rupees,ರೂಪೀಸ್ | ರೂಪಾಯಿ | ರೂಪಯ | ರೂಪಯಿ | ರೂ | ಪೈಸಾ | ಪೈಸೆ | ₹ 
currency,dollar,ಡಾಲರ್ | usd | $ 
package_metric_unit,mg,ಮಿಲಿಗ್ರಾಂ | ಮಿಗ್ರಾಂ | mg | ಮಿಲಿಗ್ರಾಮ್ಸ್ | ಮಿಲಿಗ್ರಾಮ್ | ಮಿಗ್ರಾಮ್ಸ್ | ಮಿಗ್ರಾಮ್ 
package_metric_unit,gms,ಗ್ರಾಮ್ | ಗ್ರಾಂ | ಗ್ರಾಂಸ್ | gms | ಗ್ರಾಂ | gm | g 
package_metric_unit,kg,ಕಿಲೋಗ್ರಾಂ | ಕಿಲೋ | kg | ಕಿಲೋ | ಕೆಜಿ | ಕಿಲೋಗ್ರಾಮ್ಸ್ | ಕಿಲೋಗ್ರಾಮ್ | ಕಿಲೋ | 
package_metric_unit,ml,ಮಿಲಿಲೀಟರ್ | ml | ಮಿಲಿಲೀಟರ್ | ಮಿಲಿಲೀಟ್ರ | ಮಿಲಿಲೀಟರ್ಸ್ | ಮಿಲಿಲೀಟರ್ | ಮಿಲಿಲೀಟ್ರ | ಮಿಲಿಲೀಟ್ರ | ಮಿಲಿಲೀಟರ್ 
package_metric_unit,ltr,ಲೀಟರ್ | ಲಿಟರ್ | ಲೀಟರ್ | ಲಿಟರ್ | ಲೀಟರ್ಸ್ | ಲಿಟರ್ | ಲೀ | 
package_metric_unit,pcs,ಪಿಸಸ್ | ಪಿಸ್ಸ್ | ಪಿಸಸ್ | ಪಿಸು | ತುಂಡುಗಳು | ತುಂಡು 
channel,channel,ಚಾನೆಲ್ ಸಂಖ್ಯೆ | ಚಾನೆಲ್ | ಚನಲ್ | ಚಾನೆಲ್ | ಚನಲ್ | ಚಾನೆಲ್ ಸಂಖ್ಯೆ | ಚಾನೆಲ್ ಸಂಖ್ಯೆ | ಚಾನಲ್ | ಚಾನೆಲ್ | ಚಾನಲ್ | ಚಾನೆಲ್ ಸಂಖ್ಯೆ | ಚಾನಲ್ | ನಂ 
