number,name_variants,number_value,number_type
୦,ଶୂନ୍ୟ|ପୂଜ୍ୟ|shunya|poojya,0,unit
୧,ଏକ|ଏକା|ଏକଂ|ek|eka|ekam,1,unit
୨,ଦୁଇ|ଦୁଏ|ଦ୍ୱିତୀୟ|dui|due|dwitiya,2,unit
୩,ତିନି|ତିନ|ତୃତୀୟ|tini|tin|tritiya,3,unit
୪,ଚାରି|ଚାର|ଚତୁର୍ଥ|chari|char|chaturtha,4,unit
୫,ପାଞ୍ଚ|ପାଞ୍ଚମ|ପାଞ୍ଚମୀ|paancha|panchama|panchami,5,unit
୬,ଛଅ|ଷଷ୍ଠ|ଷଷ୍ଠୀ|chha|shashtha|shashthi,6,unit
୭,ସାତ|ସପ୍ତ|ସପ୍ତମ|sat|sapta|saptama,7,unit
୮,ଆଠ|ଅଷ୍ଟମ|ଅଷ୍ଟମୀ|aatha|ashtama|ashtami,8,unit
୯,ନଅ|ନବମ|ନବମୀ|na|navama|navami,9,unit
୧୦,ଦଶ|ଦଶମ|ଦଶମୀ|dasha|dashama|dashami,10,unit
